,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Correct Response,Explanation,Knowledge Area,,,,,,,,,,,,,,,
Developers sign up to own backlog items at the Sprint Planning.,multiple-choice,TRUE,FALSE,,,,,2,"The ownership of the items and tasks are shared. The items are not even ""assigned"" to developers because they require multiple expertise. Only the tasks are assigned and even then, their ownership is shared.",The Scrum Team,,,,,,,,,,,,,,,
Which of the following is less likely to be used by a Scrum Team?,multiple-choice,"Large screen, planning poker cards","Wiki, online forum","WBS, Gantt Chart","Digital camera, task board",,,3,WBS and Gantt Charts are used in traditional projects because they are focused on an upfront understanding of the scope of the project. The scope of Agile projects evolve during the project.,The Scrum Team,,,,,,,,,,,,,,,
Who can change the Sprint Backlog during the Sprint?,multiple-choice,The Development Team,No one,The Development Team and the Product Owner together,The Product Owner,,,1,"The Product Backlog items in the Sprint Backlog do not change but another element in the Sprint Backlog is the tasks and they are always changing. This is the responsibility of the Development Team to make changes in the Sprint Backlog tasks; while they may also ""consult"" the Product Owner for this.",Scrum Artifacts,,,,,,,,,,,,,,,
Sprint Review is a formal meeting that requires sign-off by the stakeholders,multiple-choice,TRUE,FALSE,,,,,2,Sprint Review is used for informal collaboration and creating feedback. It's not a formal meeting with signed approvals and handovers.,Scrum Events,,,,,,,,,,,,,,,
A baselined Product Backlog is called:,multiple-choice,Release plan,Product Backlog is not baselined in Scrum,Sprint Backlog,Product vision,"""Ready"" Product Backlog",,2,"""Baselining"" is a term used in traditional environments for referring to a finalized upfront plan that would be followed in the future and used for evaluating the actual performance. There's no upfront planning and no baselines in Scrum.",Scrum Artifacts,,,,,,,,,,,,,,,
The Sprint Backlog emerges during the Sprint.,multiple-choice,TRUE,FALSE,,,,,1,"While the Product Backlog items selected for the Sprint Backlog stay the same, the tasks created by decomposing them always change and emerge during the Sprint.",Scrum Artifacts,,,,,,,,,,,,,,,
"The Product Owner ""owns"" the Product Backlog.",multiple-choice,TRUE,FALSE,,,,,1,"The Product Owner is the sole responsible person and they even ""own"" the Product Backlog. Note: remember that the Sprint Backlog is owned by the Development Team. This is not in contrast to the fact that the Product Backlog items are estimated by the developers; they provide this information to the Product Owner to be included in the Product Backlog. There are multiple implications by saying that the Product Owner ""owns"" the Product Backlog or is the sole responsible person, including: (a) Only they can add items to the backlog or decompose them into smaller items; while this is done by input from the customers and developers, and even the Product Owner can delegate this responsibility to the developers. (b) Only they can decide on the order of the items on the Product Backlog, while this is usually based on the input from customers and developers.",The Scrum Team,,,,,,,,,,,,,,,
The Product Owner and the Scrum Master cannot tell the Development Team how to build the product.,multiple-choice,TRUE,FALSE,,,,,1,The Development Team is self-organized and finds its own way instead of receiving orders.,The Scrum Team,,,,,,,,,,,,,,,
Which two of the following are true about Scrum? (Choose 2 answers),multi-select,Scrum is a methodology for managing complex projects.,Scrum is like traditional processes but with Sprints and related artifacts.,Scrum is a framework for developing and maintaining complex products.,Scrum is based on empirical process control theory,,,"3,4","Scrum is a framework, not a methodology or body of knowledge. Scrum is empirical, rather than theoretical. Scrum is more about project delivery rather than project management. Scrum is adaptive, rather than predictive (it's more than just using Sprints and related artifacts). Scrum should be used in its entirety (we do not tailor it).",Scrum Theory,,,,,,,,,,,,,,,
Only the Scrum Team is allowed to attend the Sprint Planning.,multiple-choice,TRUE,FALSE,,,,,2,"Everyone is free to ""attend"" the events as long as their participation is beneficial.",Scrum Events,,,,,,,,,,,,,,,
