,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Correct Response,Explanation,Knowledge Area
Which of the following is the LEAST productive way for the Scrum Master to improve the Development Team's communications with the Product Owner?,multiple-choice,Act as a go-between for them,Teach them how to effectively communicate,Monitor their communication performance,Suggest effective communication tools and techniques to the Product Owner,,,1,Acting as a go-between weakens the team and blocks their self-organization. The Scrum Master is supposed to teach and coach.,The Scrum Team
Each Development Team member should be cross-functional.,multiple-choice,TRUE,FALSE,,,,,2,"The Development Team as a whole is cross-functional, which means the sum of all developers with their different expertise. It doesn't mean that we need to have cross-functional individuals or ""Development Team members"".
Each individual is an expert in one or more technical layer or aspect of the project and the team they create is cross-functional (having all the expertise required to get the job done, without any need for external resources).",The Scrum Team
Who supports the Scrum Master in removing impediments? (Choose 2 answers),multi-select,The customer,The senior management,The Product Owner,The Development Team,,,"2,4",The Development Team can help the Scrum Master because of their understanding of how the work is done. Some impediments are rooted in external causes and that's why the Scrum Master might need to have the senior management's support in removing them.,The Scrum Team
Why is Daily Scrum at the same time and same place?,multiple-choice,Because the place can be named,Because the Product Owner requires it,To reduce complexity and increase simplicity,To make it easier to book the rooms,,,3,"It's not wise to spend some time everyday scheduling the next Daily Scrum when the meeting itself is only 15 minutes.
We usually expect to have a common place for the team and have them collocated. The meeting will be held in the same common place (ie in front of the Scrum board); we don't book a meeting room for it.",Scrum Events
When should Increments be shipped?,multiple-choice,When the Increment is free of defects,When it makes sense,After each Sprint,When the Increment is shippable,,,2,All Increments should be potentially releasable (shippable) but we don't have to release all of them. It depends on the project environment and the customer and the Product Owner is supposed to decide on it.,Scrum Artifacts
The Product Owner should use burn-down charts to track progress.,multiple-choice,TRUE,FALSE,,,,,2,Burn-down charts are very common for tracking and representing progress but they are not mandatory and the Product Owner can use other tools/techniques as well.,The Scrum Team
Which statements are correct about a Sprint Backlog item that was not finished by the end of the Sprint? (Choose 2 answers),multi-select,It will be moved back to the Product Backlog,It won't be demonstrated at the Sprint Review meeting,The Sprint will be extended until the item is done,It will be demonstrated to the stakeholders but pointed out that it's not complete yet,It will be completed in the next Sprint,,"1,2","Only the 100% complete items are demonstrated to avoid confusion. When something is not complete, it will be moved back to the Product Backlog. If it's still on the top of the Product Backlog, development will continue in the next Sprint.",Scrum Events
The Product Owner does not have to be one person and the role can be played by a committee.,multiple-choice,TRUE,FALSE,,,,,2,"It's possible to have a committee responsible for product ownership but on a representative of that committee would be called the Product Owner.

There's always one Product Owner for a product, even if there are multiple teams.",The Scrum Team
What are the common outcomes of Daily Scrums? (Choose 2 answers),multi-select,Everyone is clear on the next steps towards the Sprint Goal,The Product Owner is informed of the progress,The impediments are discussed and possible solutions selected,The Scrum Master identifies new impediments,,,"1,4","Impediments are pointed out in the Daily Scrum but we don't discuss them.

Each developer informs everyone about the tasks they will handle in the next 24 hours, which is how the team is progressing towards the goal.",Scrum Events
Self-organizing teams are characterized by their ability to ...,multiple-choice,Make local decisions,Decide on which features will be added to the product,Decide on the project vision,Make project-based decisions,,,1,The Development Team is focused on creating Increments during Sprints and are self-organized to find out how to best accomplish it. Higher-level decisions for the project are done by the Product Owner and other stakeholders.,The Scrum Team
