,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Correct Response,Explanation,Knowledge Area
A four-hour Sprint Planning is the timebox for Sprints that are ... long.,multiple-choice,Four weeks,Three weeks,One week,Two weeks,,,4,Sprint Planning is 8 hours for a one-month Sprint and usually shorter proportionally for short Sprints.,Scrum Events
Which of the following does NOT happen in the first Sprint? (Choose 2 answers),multi-select,Creating a complete Product Backlog,Creating a piece of working software,Creating a releasable Increment,Designing the complete architecture,,,"1,4","The Product Backlog is a dynamic concept that is never complete; especially, at the beginning of the project. Trying to prepare a complete Product Backlog at the beginning of the project is a form of upfront planning that doesn't suit Agile environments. The same goes for the architecture; it's not designed upfront, because we don't know exactly what we're going to develop.

All Sprints have the same purpose of bringing value to the customer by creating a potentially releasable Increment.",Scrum Events
Which of the following is a responsibility of the project manager in Scrum?,multiple-choice,There's no project manager in Scrum,Making high-level decisions,Authorizing the Sprints,Planning releases,Preparing the project plan and Gantt Charts,,1,"There are only three roles in Scrum and it's not allowed to add other roles or titles: Product Owner, Scrum Master and Development Team",The Scrum Team
Using timeboxed Sprints help limit work-in-progress.,multiple-choice,TRUE,FALSE,,,,,1,"When working inside timeboxes, it's better to limit work-in-progress and get items done before going to the next ones; otherwise, chances would be high that the team ends up with many in-progress items and not enough ""Done"" items at the end of the Sprint.
Limiting work-in-progress is a lean concept that avoids waste.",Scrum Events
Who makes sure that all developers are doing their tasks during the Sprint?,multiple-choice,The Scrum Master,The project manager,The Development Team,The Product Owner,,,3,"The developers take responsibility for doing the tasks (assignment) themselves and the Development Team ensures that all tasks are done properly. Remember that they are self-organized.

When items are ""Done"", the Product Owner checks them but this is focused on the item rather than individuals; all developers are accountable for their outputs.",The Scrum Team
Which is NOT a Development Team responsibility?,multiple-choice,Volunteering for tasks,Creating tasks,Measuring their own performance,Breaking down the items in the Product Backlog into smaller items,,,4,"This is the responsibility of the Product Owner to break down the large Product Backlog items into smaller ones. The Development Team usually ""helps"" in this but it doesn't make them responsible.",The Scrum Team
Which two statements are correct during the Sprint?,multi-select,Some Sprint Backlog items would be replaced with items from the Product Backlog if the priorities change,The scope may be clarified as more is learned,The scope may be re-negotiated as more is learned,Some Sprint Backlog items would be moved back to the Product Backlog to be completed in future Sprints,,,"2,3","During the Sprint, the Product Backlog items in the Sprint Backlog would not be added or removed but as more is learned, the scope may be clarified and re-negotiated between the Product Owner and Development Team. This is mainly focused on the interpretation of the Product Backlog items and the tasks created by decomposing them.",Scrum Events
Which of the following are optional in Scrum? (choose 2 answers),multi-select,Velocity,Having potentially releasable Increments,Release plan,Measuring Sprint performance,Product Backlog,,"1,3","Having a release plan is usually required but it's not part of the framework and is not mandatory.
Velocity calculation is also helpful and recommended but is not part of the framework.
The rest are Scrum artifacts. All Scrum roles, events and artifacts are mandatory.",Scrum Theory
Which of the following is a right action from the Scrum Master in response to a Product Owner who has problems managing the Product Backlog?,multiple-choice,Ask the Development Team to help the Product Owner understand the dependencies among items to be used in ordering them,Help the Product Owner order the items,Extend the Sprint so that the Product Owner has more time ordering items,Ask the customer to order the items instead of the Product Owner,,,2,"The Scrum Master is supposed to know the tools and techniques and to help everyone in that regard. However, it's only about helping, training, coaching and consulting rather than taking over.",The Scrum Team
The Product Owner ensures enough items are selected from the Product Backlog in the Sprint Planning meeting to satisfy the stakeholders.,multiple-choice,TRUE,FALSE,,,,,2,It's only up to the developers to decide how many items they will select from the top of the Product Backlog. The Product Owner only orders the items.,Scrum Events
"All of the following are inputs to the Sprint Planning meeting, EXCEPT:",multiple-choice,Sprint Goal,Previous Increment,Product Backlog,Velocity,,,1,The Sprint Goal is created during the Sprint Planning. The rest are the existing information we use for planning the Sprint.,Scrum Events
What's the maximum duration of Sprint Planning when the Product Backlog is not clear?,multiple-choice,As much as needed,8 hours,6 hours,12 hours,4 hours,2 hours,2,"The maximum duration of Sprint Planning for a one month Sprint (which is the longest allowed Sprint) is 8 hours.
This is not dependent on any other factor such as the state of the Product Backlog.",Scrum Events
There are 6 teams working on the same product. How many Product Owners do they need?,multiple-choice,One,Six,The team should decide,Depends on the complexity of the product,,,1,"One project for one product has only one Product Backlog and one Product Owner. Otherwise, prioritization and accountability would be too difficult.",The Scrum Team
